SQLDATE,Actor1Name,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GoldsteinScale,NumMentions,SourceURL
20151124,SECRETARIAT,112,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,44,http://www.business-standard.com/article/pti-stories/flood-relief-dmk-demands-white-paper-gives-rs-one-crore-115112400635_1.html
20151230,TAMIL NADU,070,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,40,http://www.dnaindia.com/india/report-chennai-floods-over-195-crore-contributed-to-cm-s-public-relief-fund-2160705
20151203,PRIME MINISTER,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,34,http://mynorthwest.com/17/2862495/More-rains-forecast-for-floodhit-southern-India
20151203,,051,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.4,32,http://article.wn.com/view/2015/12/03/Indian_army_battles_deadly_flooding_in_Chennai/
20151223,DOCTOR,070,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,30,http://www.business-standard.com/article/pti-stories/mard-to-be-secret-santa-for-chennai-flood-victims-115122300867_1.html
20151223,MAHARASHTRA,033,"Chennai, Tamil Nadu, India",13.0833,80.2833,5.2,30,http://www.business-standard.com/article/pti-stories/mard-to-be-secret-santa-for-chennai-flood-victims-115122300867_1.html
20160110,FARMER,060,"Chennai, Tamil Nadu, India",13.0833,80.2833,6.0,30,http://www.business-standard.com/article/pti-stories/city-marwaris-to-help-200-families-hit-by-chennai-floods-116011000313_1.html
20151229,GOVERNMENT,040,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.0,30,http://post.jagran.com/flashback-2015-heavy-flood-pushed-indias-detroit-offtrack-gim-a-saving-grace-1451381371
20151230,TAMIL,070,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,30,http://www.dnaindia.com/india/report-chennai-floods-over-195-crore-contributed-to-cm-s-public-relief-fund-2160705
20151205,ARMY,166,"Chennai, Tamil Nadu, India",13.0833,80.2833,-7.0,30,http://arabic.cnn.com/world/2015/12/05/wd-051215-india-battles-deadly-floods
