SQLDATE,Actor1Name,Actor2Name,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,GoldsteinScale,NumMentions,SourceURL
20150519,CHENNAI,TRAVELLER,051,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.4,3,https://www.ft.lk/front-page/Turyaa-Chennai-marks-decade-of-hospitality/44-776502
20150129,TYRE,,061,"Chennai, Tamil Nadu, India",13.0833,80.2833,6.4,32,http://www.business-standard.com/article/economy-policy/indian-tyres-to-lose-out-on-exports-on-natural-rubber-import-curbs-116012900983_1.html
20150129,CHENNAI,,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,6,http://www.examiner.org/newsx/ap-news/60881-india-cities-get-funds-to-tackle-woes-from-sewage-to-traffic
20150129,TYRE,,120,"Chennai, Tamil Nadu, India",13.0833,80.2833,-4.0,20,http://www.business-standard.com/article/economy-policy/indian-tyres-to-lose-out-on-exports-on-natural-rubber-import-curbs-116012900983_1.html
20150111,MUSLIM,HINDU,075,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,10,http://www.thenational.ae/opinion/comment/indias-strength-lies-in-unity-and-religious-freedom
20150102,POLICE,,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,10,http://chandigarh.amarujala.com/news/politics-chd/punjab-political-leaders-statement-on-pathankot-terror-attack-hindi-news/
20150102,,COLLEGE,051,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.4,10,http://www.thehindu.com/features/cinema/deeraj-vaidy-on-jil-jung-juk/article8058365.ece
20151215,FRANCE,THE UN,044,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.5,4,http://www.thehindu.com/thread/reflections/article16805333.ece
20151215,CHENNAI,THE UN,044,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.5,6,http://www.thehindu.com/thread/reflections/article16805333.ece
20151215,SAUDI,SAUDI ARABIA,173,"Chennai, Tamil Nadu, India",13.0833,80.2833,-5.0,2,http://www.thehindu.com/news/cities/Madurai/Woman-seeks-husband%E2%80%99s-release-from-Saudi-jail-again/article16807669.ece
20151215,SAUDI,DAMMAM,173,"Chennai, Tamil Nadu, India",13.0833,80.2833,-5.0,3,http://www.thehindu.com/news/cities/Madurai/Woman-seeks-husband%E2%80%99s-release-from-Saudi-jail-again/article16807669.ece
20150128,,CHENNAI,046,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,4,http://www.thehindu.com/news/cities/Coimbatore/nhai-waits-for-feasibility-report-on-widening-nh-209/article6939132.ece
20150128,CHENNAI,,046,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,4,http://www.thehindu.com/news/cities/Coimbatore/nhai-waits-for-feasibility-report-on-widening-nh-209/article6939132.ece
20150103,THE POOR,,012,"Chennai, Tamil Nadu, India",13.0833,80.2833,-0.4,5,http://www.business-standard.com/article/opinion/sunita-narain-year-2015-a-trailer-of-our-future-116010300671_1.html
20150103,THE POOR,TELEVISION,174,"Chennai, Tamil Nadu, India",13.0833,80.2833,-5.0,5,http://www.business-standard.com/article/opinion/sunita-narain-year-2015-a-trailer-of-our-future-116010300671_1.html
20150131,,MUMBAI,190,"Chennai, Tamil Nadu, India",13.0833,80.2833,-10.0,3,http://www.business-standard.com/article/pti-stories/8th-india-art-fair-draws-to-a-close-116013100522_1.html
20150131,COMPANY,,192,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.5,5,http://www.rushlane.com/two-wheeler-industry-february-sales-12145952.html
20150101,NEW DELHI,,172,"Chennai, Tamil Nadu, India",13.0833,80.2833,-5.0,4,http://www.tarunbharat.com/?p=319248
20150101,NEW DELHI,,010,"Chennai, Tamil Nadu, India",13.0833,80.2833,0.0,2,http://www.tarunbharat.com/?p=319248
20150210,,GOVERNMENT,046,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,2,http://www.newindianexpress.com/cities/chennai/Will-Pvt-Buses-join-Race-with-MTC/2015/03/12/article2708777.ece
20150210,GOVERNMENT,,046,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,2,http://www.newindianexpress.com/cities/chennai/Will-Pvt-Buses-join-Race-with-MTC/2015/03/12/article2708777.ece
20150207,,ABU DHABI,040,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.0,8,http://gulfnews.com/business/economy/india-is-doing-all-to-remove-hurdles-in-doing-business-says-envoy-1.1667737
20150119,PILGRIM,,042,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.9,5,http://www.thehindu.com/news/national/tamil-nadu/katchatheevu-festival-govt-staff-teachers-face-difficulty/article8122370.ece
20150119,,PILGRIM,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,5,http://www.thehindu.com/news/national/tamil-nadu/katchatheevu-festival-govt-staff-teachers-face-difficulty/article8122370.ece
20150116,,CHENNAI,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,4,http://www.ibtimes.co.in/wipro-q3-earnings-focus-after-upbeat-infosys-results-663476
20150116,CHENNAI,,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,4,http://www.ibtimes.co.in/wipro-q3-earnings-focus-after-upbeat-infosys-results-663476
20150104,POLICE,,114,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,5,http://www.newindianexpress.com/cities/chennai/Ayanavaram-Murder-Case-Prime-Suspect-Among-Six-Arrested/2016/01/04/article3210279.ece
20150108,,TOURIST,042,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.9,10,http://www.business-standard.com/article/pti-stories/foreign-tourist-arrivals-grow-by-4-4-pc-in-2015-116010800772_1.html
20150108,TOURIST,,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,10,http://www.business-standard.com/article/pti-stories/foreign-tourist-arrivals-grow-by-4-4-pc-in-2015-116010800772_1.html
20150105,CORPORATION,,012,"Chennai, Tamil Nadu, India",13.0833,80.2833,-0.4,5,http://www.thehindubusinessline.com/money-and-banking/general-insurance-premiums-may-not-go-up-this-year/article8069408.ece
20150212,,UNIVERSITY,110,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,2,http://www.firstpost.com/india/they-have-blood-on-their-hands-ex-du-student-slams-university-for-mass-failure-in-sociology-exam-2623944.html
20150211,,COMPANIES,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,4,http://blogs.timesofindia.indiatimes.com/tracking-indian-communities/haryana-woos-tn-investors-with-zero-corruption-promise/
20150211,INVESTOR,TAMIL NADU,036,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,4,http://blogs.timesofindia.indiatimes.com/tracking-indian-communities/haryana-woos-tn-investors-with-zero-corruption-promise/
20150121,ANDHRA PRADESH,CONGRESS,110,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,2,http://www.siasat.com/news/air-india-official-assault-case-ysrc-mp-mithun-reddys-bail-plea-dismissed-mithun-reddy-905009/
20150121,ANDHRA PRADESH,CONGRESS,110,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,10,http://economictimes.indiatimes.com/news/politics-and-nation/ysrc-mps-bail-plea-dismissed-in-air-india-official-assault-case/articleshow/50665680.cms
20150113,NEW DELHI,,084,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,6,http://news.chennaionline.com/business/Host-of-factors-reversed-India-s-factory-output-growth--Experts/2e0e0688-38c1-4423-b0e7-918fd888f296.col
20150201,HYUNDAI,,013,"Chennai, Tamil Nadu, India",13.0833,80.2833,0.4,5,https://www.rushlane.com/hyundai-india-domestic-sales-jan-2016-12181445.html
20150214,GOVERNMENT,CHENNAI,020,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.0,4,http://www.thehindu.com/news/cities/chennai/dont-rush-to-court-with-appeals-hc/article6998280.ece
20150214,GOVERNMENT,CORPORATION,020,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.0,4,http://www.thehindu.com/news/cities/chennai/dont-rush-to-court-with-appeals-hc/article6998280.ece
20150214,GOVERNMENT,CHENNAI,020,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.0,2,http://www.thehindu.com/news/cities/chennai/dont-rush-to-court-with-appeals-hc/article6998280.ece
20150215,,MADRAS,120,"Chennai, Tamil Nadu, India",13.08329963684082,80.2833023071289,-4.0,16,http://www.siasat.com/news/22-transgenders-get-si-appointment-orders-tn-917771/
20150215,,TAMIL,030,"Chennai, Tamil Nadu, India",13.0833,80.2833,4.0,10,http://www.telugupeople.com/news/article_00095903_What_Superstar_undergoes_surgery.asp
20150215,TAMIL,TELUGU,193,"Chennai, Tamil Nadu, India",13.0833,80.2833,-10.0,10,http://sakshipost.com/index.php/entertainment/news-gossip/74395-this-is-pawan-kalyans-new-brother.html
20150216,,JAPAN,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,2,http://daijiworld.com/news/news_disp.asp?n_id=380924
20150216,,JAPAN,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,2,http://daijiworld.com/news/news_disp.asp?n_id=380924
20150216,,MADRAS,120,"Chennai, Tamil Nadu, India",13.0833,80.2833,-4.0,4,http://newstodaynet.com/tamil-nadu/22-transgenders-set-see-other-side-law
20150216,ACTOR,,193,"Chennai, Tamil Nadu, India",13.0833,80.2833,-10.0,4,http://www.firstpost.com/bollywood/will-shah-rukh-khan-get-shah-rukh-khan-hangover-fan-2159899.html
20150117,PAKISTAN,CHENNAI,042,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.9,4,http://tass.ru/en/politics/850202
20150117,ANDHRA PRADESH,PARTY LEADER,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,3,http://www.mangalorean.com/175626-2/
20150117,ANDHRA PRADESH,POLICE,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,2,http://www.india.com/news/india/mp-p-mithun-reddy-booked-for-assaulting-air-india-official-arrested-868608/
20150117,ANDHRA PRADESH,PARTY LEADER,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,4,http://www.business-standard.com/article/pti-stories/mp-booked-for-assaulting-ai-official-arrested-116011700089_1.html
20150117,ANDHRA PRADESH,POLICE,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,4,http://www.business-standard.com/article/pti-stories/mp-booked-for-assaulting-ai-official-arrested-116011700089_1.html
20150117,CONGRESS,,016,"Chennai, Tamil Nadu, India",13.0833,80.2833,-2.0,30,http://www.business-standard.com/article/news-ani/ysr-congress-mp-sent-to-judicial-custody-for-assaulting-ai-manager-update-116011700194_1.html
20150117,CHENNAI,PAKISTAN,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,4,http://tass.ru/en/politics/850202
20150117,CONGRESS,ANDHRA PRADESH,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,1,http://www.newindianexpress.com/cities/chennai/YSR-Congress-MP-Arrested-for-Assaulting-AI-Staff/2016/01/18/article3231849.ece
20150117,CONGRESS,ANDHRA PRADESH,173,"Chennai, Tamil Nadu, India",13.0833,80.2833,-5.0,2,http://www.newindianexpress.com/cities/chennai/YSR-Congress-MP-Arrested-for-Assaulting-AI-Staff/2016/01/18/article3231849.ece
20150117,ANDHRA PRADESH,POLICE,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,5,http://www.deccanherald.com/content/523539/ysrc-mp-booked-assaulting-ai.html
20150117,ANDHRA PRADESH,PARTY LEADER,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,5,http://www.deccanherald.com/content/523539/ysrc-mp-booked-assaulting-ai.html
20150107,HIGH COURT,AUTHORITIES,012,"Chennai, Tamil Nadu, India",13.0833,80.2833,-0.4,10,http://www.thehindu.com/news/cities/chennai/hc-dismisses-plea-for-more-reserved-wards-in-chennai/article8074688.ece
20150107,CORPORATION,DOCTOR,031,"Chennai, Tamil Nadu, India",13.0833,80.2833,5.2,10,http://timesofindia.indiatimes.com/city/chennai/140-corporation-health-centres-understaffed/articleshow/50489282.cms
20150107,DOCTOR,CORPORATION,031,"Chennai, Tamil Nadu, India",13.0833,80.2833,5.2,10,http://timesofindia.indiatimes.com/city/chennai/140-corporation-health-centres-understaffed/articleshow/50489282.cms
20150209,COMPANY,GOOGLE,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,10,http://www.bhaskar.com/news-ht/INT-sundar-pichai-become-one-of-the-highestpaid-executives-of-a-publicly-traded-comp-5244414-PHO.html
20150209,GOOGLE,COMPANY,042,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.9,10,http://www.bhaskar.com/news-ht/INT-sundar-pichai-become-one-of-the-highestpaid-executives-of-a-publicly-traded-comp-5244414-PHO.html
20150106,ACTOR,,084,"Chennai, Tamil Nadu, India",13.0833,80.2833,7.0,10,http://fitnhit.com/news/pavada-malayalam-movie-trailer-released/52304/
20150106,CHIEF MINISTER,WORKER,020,"Chennai, Tamil Nadu, India",13.0833,80.2833,3.0,10,http://www.business-standard.com/article/pti-stories/aiadmk-kicks-off-achievement-rallies-across-tn-116010600764_1.html
20150120,,SYRIAN,042,"Chennai, Tamil Nadu, India",13.0833,80.2833,1.9,10,http://indiatoday.intoday.in/story/exclusive-intel-on-track-of-missing-syrians-in-india/1/574811.html
20150120,STUDENT,,180,"Chennai, Tamil Nadu, India",13.0833,80.2833,-9.0,20,http://www.newindianexpress.com/nation/Social-Justice-Minister-Seeks-Report-on-Dalit-Students-Suicide/2016/01/20/article3236183.ece
20150109,GOVERNMENT,WRITER,043,"Chennai, Tamil Nadu, India",13.0833,80.2833,2.8,10,http://www.dnaindia.com/india/report-ustad-amjad-ali-khan-says-intolerance-exists-everywhere-and-not-just-india-2163824
